iso3,category,category_name,type,type_name,prop_ssf,source
BHR,A,Beneficial,A1,Fisheries management,0.2506381323900393,Schuhbauer et al. (2017)
BHR,A,Beneficial,A2,Fishery research and development,0.20472500909078753,Schuhbauer et al. (2017)
BHR,A,Beneficial,A3,Marine protected areas,0,Schuhbauer et al. (2017)
BHR,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
BHR,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
BHR,B,Capacity-enhancing,B3,Fishing port development,0.805000000256241,Schuhbauer et al. (2017)
BHR,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
BHR,B,Capacity-enhancing,B5,Non-fuel tax exemption,1,Schuhbauer et al. (2017)
BHR,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BHR,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
BHR,C,Ambiguous,C1,Fisher assistance,0.6156240000417729,Schuhbauer et al. (2017)
BHR,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BHR,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
BHS,A,Beneficial,A1,Fisheries management,0.20392841780526594,Schuhbauer et al. (2017)
BHS,A,Beneficial,A2,Fishery research and development,0.24864582929411766,Schuhbauer et al. (2017)
BHS,A,Beneficial,A3,Marine protected areas,0.19731547302249322,Schuhbauer et al. (2017)
BHS,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
BHS,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
BHS,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
BHS,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
BHS,B,Capacity-enhancing,B5,Non-fuel tax exemption,0.17199999999481141,Schuhbauer et al. (2017)
BHS,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BHS,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
BHS,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
BHS,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BHS,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
BIH,A,Beneficial,A1,Fisheries management,0.7791556825685063,Schuhbauer et al. (2017)
BIH,A,Beneficial,A2,Fishery research and development,0,Schuhbauer et al. (2017)
BIH,A,Beneficial,A3,Marine protected areas,0,Schuhbauer et al. (2017)
BIH,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
BIH,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
BIH,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
BIH,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
BIH,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
BIH,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BIH,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
BIH,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
BIH,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BIH,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
BLZ,A,Beneficial,A1,Fisheries management,1,Schuhbauer et al. (2017)
BLZ,A,Beneficial,A2,Fishery research and development,1,Schuhbauer et al. (2017)
BLZ,A,Beneficial,A3,Marine protected areas,0.916820551962107,Schuhbauer et al. (2017)
BLZ,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
BLZ,B,Capacity-enhancing,B2,Fisheries development projects,0.010339794003047268,Schuhbauer et al. (2017)
BLZ,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
BLZ,B,Capacity-enhancing,B4,Marketing and storage infrastructure,1,Schuhbauer et al. (2017)
BLZ,B,Capacity-enhancing,B5,Non-fuel tax exemption,0.00898747561849727,Schuhbauer et al. (2017)
BLZ,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BLZ,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
BLZ,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
BLZ,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BLZ,C,Ambiguous,C3,Rural fisher communities,0.0743390116726095,Schuhbauer et al. (2017)
BRA,A,Beneficial,A1,Fisheries management,0.4194589193069856,Schuhbauer et al. (2017)
BRA,A,Beneficial,A2,Fishery research and development,0.22208455113775627,Schuhbauer et al. (2017)
BRA,A,Beneficial,A3,Marine protected areas,0.5126041139792027,Schuhbauer et al. (2017)
BRA,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
BRA,B,Capacity-enhancing,B2,Fisheries development projects,1,Schuhbauer et al. (2017)
BRA,B,Capacity-enhancing,B3,Fishing port development,0.9397915468350928,Schuhbauer et al. (2017)
BRA,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
BRA,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
BRA,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BRA,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
BRA,C,Ambiguous,C1,Fisher assistance,1,Schuhbauer et al. (2017)
BRA,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BRA,C,Ambiguous,C3,Rural fisher communities,1,Schuhbauer et al. (2017)
BRB,A,Beneficial,A1,Fisheries management,0.6410063265186795,Schuhbauer et al. (2017)
BRB,A,Beneficial,A2,Fishery research and development,0.7815661566494329,Schuhbauer et al. (2017)
BRB,A,Beneficial,A3,Marine protected areas,0.620219917983528,Schuhbauer et al. (2017)
BRB,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
BRB,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
BRB,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
BRB,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
BRB,B,Capacity-enhancing,B5,Non-fuel tax exemption,0.5000000001820174,Schuhbauer et al. (2017)
BRB,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BRB,B,Capacity-enhancing,B7,Fuel subsidies,0.5,Schuhbauer et al. (2017)
BRB,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
BRB,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BRB,C,Ambiguous,C3,Rural fisher communities,0.7607937456212418,Schuhbauer et al. (2017)
BRN,A,Beneficial,A1,Fisheries management,0.016555037234202603,Schuhbauer et al. (2017)
BRN,A,Beneficial,A2,Fishery research and development,0.7249514859283899,Schuhbauer et al. (2017)
BRN,A,Beneficial,A3,Marine protected areas,0.6833577038901032,Schuhbauer et al. (2017)
BRN,B,Capacity-enhancing,B1,Boat construction and renovation,0.8529115810164135,Schuhbauer et al. (2017)
BRN,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
BRN,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
BRN,B,Capacity-enhancing,B4,Marketing and storage infrastructure,1,Schuhbauer et al. (2017)
BRN,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
BRN,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
BRN,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
BRN,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
BRN,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
BRN,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
CAN,A,Beneficial,A1,Fisheries management,0.09959994823909354,Schuhbauer et al. (2017)
CAN,A,Beneficial,A2,Fishery research and development,0.09418203092158677,Schuhbauer et al. (2017)
CAN,A,Beneficial,A3,Marine protected areas,0.039913314004671054,Schuhbauer et al. (2017)
CAN,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
CAN,B,Capacity-enhancing,B2,Fisheries development projects,0,Schuhbauer et al. (2017)
CAN,B,Capacity-enhancing,B3,Fishing port development,0.061312137995664505,Schuhbauer et al. (2017)
CAN,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
CAN,B,Capacity-enhancing,B5,Non-fuel tax exemption,0.061843008012350584,Schuhbauer et al. (2017)
CAN,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
CAN,B,Capacity-enhancing,B7,Fuel subsidies,0.6928000790232355,Schuhbauer et al. (2017)
CAN,C,Ambiguous,C1,Fisher assistance,0.06131213399704659,Schuhbauer et al. (2017)
CAN,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
CAN,C,Ambiguous,C3,Rural fisher communities,1,Schuhbauer et al. (2017)
CHL,A,Beneficial,A1,Fisheries management,0.003793274170709091,Schuhbauer et al. (2017)
CHL,A,Beneficial,A2,Fishery research and development,0.32099343637772143,Schuhbauer et al. (2017)
CHL,A,Beneficial,A3,Marine protected areas,0.693929457982548,Schuhbauer et al. (2017)
CHL,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
CHL,B,Capacity-enhancing,B2,Fisheries development projects,1,Schuhbauer et al. (2017)
CHL,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
CHL,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
CHL,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
CHL,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
CHL,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
CHL,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
CHL,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
CHL,C,Ambiguous,C3,Rural fisher communities,1,Schuhbauer et al. (2017)
CHN,A,Beneficial,A1,Fisheries management,0,Schuhbauer et al. (2017)
CHN,A,Beneficial,A2,Fishery research and development,0.20228886158176496,Schuhbauer et al. (2017)
CHN,A,Beneficial,A3,Marine protected areas,0.35577549191265667,Schuhbauer et al. (2017)
CHN,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
CHN,B,Capacity-enhancing,B2,Fisheries development projects,0.12419461348648506,Schuhbauer et al. (2017)
CHN,B,Capacity-enhancing,B2,Fisheries development projects,0.12419461346689657,Schuhbauer et al. (2017)
CHN,B,Capacity-enhancing,B3,Fishing port development,0.8499999998919815,Schuhbauer et al. (2017)
CHN,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
CHN,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
CHN,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
CHN,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
CHN,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
CHN,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
CHN,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
CIV,A,Beneficial,A1,Fisheries management,0.2864805565998517,Schuhbauer et al. (2017)
CIV,A,Beneficial,A2,Fishery research and development,0.3575359750325433,Schuhbauer et al. (2017)
CIV,A,Beneficial,A3,Marine protected areas,0.10177161898519024,Schuhbauer et al. (2017)
CIV,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
CIV,B,Capacity-enhancing,B2,Fisheries development projects,1,Schuhbauer et al. (2017)
CIV,B,Capacity-enhancing,B3,Fishing port development,0.0727412214174489,Schuhbauer et al. (2017)
CIV,B,Capacity-enhancing,B4,Marketing and storage infrastructure,1,Schuhbauer et al. (2017)
CIV,B,Capacity-enhancing,B5,Non-fuel tax exemption,0.7200000000000001,Schuhbauer et al. (2017)
CIV,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
CIV,B,Capacity-enhancing,B7,Fuel subsidies,1,Schuhbauer et al. (2017)
CIV,C,Ambiguous,C1,Fisher assistance,0.708322332727434,Schuhbauer et al. (2017)
CIV,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
CIV,C,Ambiguous,C3,Rural fisher communities,1,Schuhbauer et al. (2017)
CMR,A,Beneficial,A1,Fisheries management,0,Schuhbauer et al. (2017)
CMR,A,Beneficial,A2,Fishery research and development,0.7480001950532578,Schuhbauer et al. (2017)
CMR,A,Beneficial,A3,Marine protected areas,0.7479987220843878,Schuhbauer et al. (2017)
CMR,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
CMR,B,Capacity-enhancing,B2,Fisheries development projects,1,Schuhbauer et al. (2017)
CMR,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
CMR,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
CMR,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
CMR,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
CMR,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
CMR,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
CMR,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
CMR,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
COD,A,Beneficial,A1,Fisheries management,0,Schuhbauer et al. (2017)
COD,A,Beneficial,A2,Fishery research and development,0,Schuhbauer et al. (2017)
COD,A,Beneficial,A3,Marine protected areas,0.4445357711129298,Schuhbauer et al. (2017)
COD,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
COD,B,Capacity-enhancing,B2,Fisheries development projects,1,Schuhbauer et al. (2017)
COD,B,Capacity-enhancing,B3,Fishing port development,0,Schuhbauer et al. (2017)
COD,B,Capacity-enhancing,B4,Marketing and storage infrastructure,0,Schuhbauer et al. (2017)
COD,B,Capacity-enhancing,B5,Non-fuel tax exemption,0,Schuhbauer et al. (2017)
COD,B,Capacity-enhancing,B6,Fishing access agreements,0,Schuhbauer et al. (2017)
COD,B,Capacity-enhancing,B7,Fuel subsidies,0,Schuhbauer et al. (2017)
COD,C,Ambiguous,C1,Fisher assistance,0,Schuhbauer et al. (2017)
COD,C,Ambiguous,C2,Vessel buyback programs,0,Schuhbauer et al. (2017)
COD,C,Ambiguous,C3,Rural fisher communities,0,Schuhbauer et al. (2017)
COG,A,Beneficial,A1,Fisheries management,0,Schuhbauer et al. (2017)
COG,A,Beneficial,A2,Fishery research and development,0.3976201629243439,Schuhbauer et al. (2017)
COG,A,Beneficial,A3,Marine protected areas,0.3124150009913547,Schuhbauer et al. (2017)
COG,B,Capacity-enhancing,B1,Boat construction and renovation,0,Schuhbauer et al. (2017)
COG,B,Capacity-enhancing,B2,Fisheries development projects,1,Schuhbauer et al. (2017)
